method,psnr,ssim,lpips,inference_time_ms_mean,inference_time_ms_median,params_M,n_eval
identity,16.152950031865586,0.775301456451416,0.2857877249270678,0.2919924259185791,0.0,0.0,200
shift_const,16.81992319686774,0.8090943098068237,0.22217993788421153,1.3226902484893799,1.0001659393310547,0.0,200
dav2_warp,18.07444180457712,0.8299633264541626,0.19164278045296668,467.1931290626526,467.1177864074707,335.315649,200
moge_warp,18.259481470086186,0.834551990032196,0.17480181485414506,305.2358675003052,305.16743659973145,314.17402,200
zerostereo_person_tuned,17.5576126469635,0.8124186992645264,0.18009075544774533,1765.7364094257355,1765.7364094257355,1289.966827,200
oracle_warp,18.842470006828357,0.8621971011161804,0.1567907625809312,26.158019304275513,25.99811553955078,0.0,200
gasg_untrained,16.38949831556514,0.7795533537864685,0.2697081263363361,167.20332264900208,166.13972187042236,25.519195,200
gasg_warp_only,21.21017875415531,0.912577211856842,0.1371738749742508,167.1155071258545,166.5186882019043,25.519195,200
gasg_direct_only,28.2135354661342,0.9649444818496704,0.04581434301100671,167.2867500782013,166.04900360107422,25.519195,200
gasg_no_refine,28.205086254682346,0.9650120735168457,0.04528938530012965,167.05039978027344,166.22531414031982,25.519195,200
gasg_full,28.562884863061,0.9687173962593079,0.042501618969254196,166.98015928268433,166.00072383880615,25.519195,200
